"State","BlackTotal","BlackPerc"
"Mississippi","1148330","0.3871"
"Louisiana","1556080","0.3363"
"Georgia","3436530","0.3173"
"Maryland","1916620","0.3160"
"Alabama","1340980","0.2718"
"South Carolina","1410420","0.2672"
"Delaware","229730","0.2320"
"North Carolina","2360230","0.2206"
"Virginia","1782850","0.2072"
"New York","3379350","0.1751"
"Tennessee","1200240","0.1728"
"Florida","3653870","0.1665"
"Arkansas","489192","0.1612"
"Illinois","1955310","0.1556"
"Michigan","1519460","0.1521"
"New Jersey","1318290","0.1485"
"Ohio","1654700","0.1413"
"Pennsylvania","1621740","0.1267"
"Missouri","779871","0.1264"
"Connecticut","447432","0.1259"
"Texas","3727750","0.1254"
"Indiana","720476","0.1059"
"Nevada","322756","0.1013"
"Kentucky","418010","0.0933"
"Massachusetts","643622","0.0931"
"Oklahoma","359841","0.0902"
"Rhode Island","89741","0.0845"
"Minnesota","428937","0.0752"
"Wisconsin","434778","0.0743"
"Kansas","214879","0.0737"
"California","2766480","0.0698"
"Nebraska","115778","0.0593"
"Arizona","405266","0.0539"
"Washington","410999","0.0527"
"Colorado","300065","0.0509"
"Alaska","35935","0.0496"
"West Virginia","85538","0.0484"
"Iowa","149977","0.0473"
"Hawaii","50593","0.0360"
"North Dakota","26761","0.0348"
"New Mexico","60672","0.0288"
"Oregon","119710","0.0279"
"South Dakota","23899","0.0267"
"New Hampshire","30753","0.0224"
"Maine","26929","0.0199"
"Vermont","12083","0.0194"
"Wyoming","9770","0.0168"
"Utah","55472","0.0168"
"Idaho","20453","0.0110"
"Montana","11278","0.0104"